,cluster_label
0,41
1,91
2,50
3,45
4,7
5,2
6,7
7,91
8,91
9,50
10,45
11,2
12,50
13,1
14,45
15,91
16,91
17,41
18,50
19,7
20,2
21,41
22,50
23,50
24,91
25,7
26,91
27,96
28,50
29,74
30,91
31,96
32,7
33,91
34,50
35,91
36,91
37,7
38,96
39,2
40,50
41,50
42,50
43,45
44,96
45,87
46,50
47,96
48,50
49,50
50,92
51,2
52,96
53,1
54,50
55,91
56,50
57,65
58,1
59,50
60,91
61,2
62,2
63,50
64,7
65,50
66,91
67,96
68,2
69,7
70,1
71,91
72,96
73,91
74,96
75,91
76,87
77,96
78,50
79,41
80,91
81,1
82,91
83,91
84,1
85,91
86,74
87,2
88,82
89,50
90,7
91,7
92,26
93,91
94,2
95,1
96,2
97,40
98,1
99,91
100,91
101,91
102,45
103,2
104,91
105,1
106,96
107,1
108,50
109,7
110,45
111,1
112,1
113,1
114,50
115,2
116,50
117,50
118,91
119,50
120,91
121,33
122,7
123,82
124,50
125,45
126,91
127,7
128,50
129,7
130,2
131,91
132,1
133,41
134,1
135,91
136,50
137,2
138,2
139,7
140,1
141,50
142,45
143,45
144,45
145,7
146,91
147,50
148,50
149,91
150,45
151,91
152,45
153,45
154,91
155,91
156,50
157,1
158,91
159,50
160,45
161,41
162,91
163,45
164,20
165,50
166,91
167,1
168,41
169,7
170,50
171,66
172,50
173,45
174,1
175,50
176,2
177,45
178,91
179,50
180,91
181,7
182,56
183,91
184,41
185,50
186,50
187,1
188,1
189,45
190,1
191,91
192,91
193,50
194,50
195,1
196,91
197,2
198,82
199,96
200,20
201,91
202,45
203,7
204,45
205,91
206,91
207,12
208,91
209,45
210,1
211,45
212,91
213,96
214,45
215,1
216,50
217,45
218,2
219,7
220,91
221,91
222,91
223,50
224,7
225,1
226,7
227,45
228,30
229,96
230,96
231,7
232,91
233,50
234,50
235,50
236,91
237,91
238,1
239,50
240,30
241,7
242,7
243,50
244,74
245,91
246,1
247,1
248,96
249,91
250,2
251,7
252,1
253,1
254,91
255,91
256,76
257,2
258,82
259,50
260,96
261,91
262,2
263,1
264,96
265,91
266,91
267,1
268,1
269,50
270,63
271,2
272,1
273,41
274,75
275,1
276,82
277,50
278,1
279,56
280,50
281,82
282,1
283,91
284,50
285,1
286,50
287,50
288,1
289,45
290,41
291,91
292,91
293,50
294,63
295,91
296,96
297,2
298,1
299,1
300,50
301,91
302,91
303,50
304,50
305,91
306,7
307,96
308,45
309,50
310,1
311,74
312,2
313,91
314,50
315,45
316,2
317,50
318,50
319,30
320,82
321,91
322,1
323,64
324,91
325,91
326,91
327,91
328,50
329,1
330,50
331,2
332,63
333,91
334,50
335,1
336,1
337,1
338,7
339,50
340,63
341,91
342,1
343,63
344,1
345,45
346,91
347,50
348,2
349,50
350,7
351,26
352,91
353,50
354,45
355,50
356,74
357,1
358,96
359,62
360,50
361,50
362,41
363,96
364,50
365,91
366,96
367,91
368,91
369,1
370,91
371,91
372,1
373,1
374,50
375,63
376,50
377,2
378,96
379,50
380,2
381,7
382,45
383,1
384,1
385,91
386,91
387,91
388,1
389,1
390,91
391,1
392,91
