,ingredient,degree,sugar,base_spirit,occasion_id
0,"얼음,앱솔루트 보드카,깔루아,에스프레소,커피 콩",24,5,vodka,14
1,"얼음,앱솔루트 보드카,라임 주스,진저비어,라임",38,0,vodka,14
2,"얼음,앱솔루트 보드카,드라이 버무스,레몬 껍질,그린 올리브",39,0,vodka,4
3,"얼음,앱솔루트 시트론,레몬 주스,슈가시럽,레몬",18,8,vodka,15
4,"얼음,앱솔루트 시트론,트리플 섹,라임 주스,크랜베리 주스,오렌지 껍질",35,2,vodka,6
5,"얼음,앱솔루트 보드카,크랜베리 주스,라임",30,3,vodka,14
6,"얼음,앱솔루트 보드카,소다수,라임 주스,라임",26,3,vodka,14
7,"앱솔루트 바니리아,패션프루트 퓨레,바닐라 시럽,파인애플,패션 프루트",35,1,vodka,17
8,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,사과즙,애플 주스",34,2,vodka,15
9,"앱솔루트 보드카,슈가시럽,민트잎,라임,소다수",38,2,vodka,4
10,"얼음,앱솔루트 보드카,라이트 오렌지 주스,크랜베리 주스,복숭아 슈납스,라임,체리",1,5,vodka,14
11,"얼음,앱솔루트 망고,크랜베리 주스,오렌지 주스,망고",12,7,vodka,14
12,"얼음,앱솔루트 보드카,레몬 주스,석류즙,슈가시럽,소다수",35,1,vodka,14
13,"얼음,앱솔루트 보드카,패션프루트 퓨레,레몬 주스,슈가시럽,패션 프루트 리큐어,패션 프루트",16,12,vodka,6
14,"얼음,앱솔루트 보드카,블루 큐라소,코코넛 시럽,파인애플 주스,체리",25,13,vodka,14
15,"얼음,앱솔루트 보드카,진저엘,라임",30,0,vodka,22
16,"얼음,앱솔루트 페어,슈가시럽,레몬 주스,배 퓌레,배",36,2,vodka,14
17,"얼음,앱솔루트 시트론,레몬에이드,복숭아,바질",13,8,vodka,14
18,"잘게 부순 얼음,앱솔루트 라임,라임 주스,슈가시럽,소다수,어린 가지 민트,라임",37,1,vodka,22
19,"얼음,앱솔루트 보드카,소다수,라임",27,3,vodka,14
20,"얼음,앱솔루트 맨드린,진저엘,파인애플 주스,레몬,라임",13,5,vodka,4
21,"얼음,앱솔루트 워터멜론,수박 주스,라임 주스,슈가시럽,오렌지 리큐어",4,2,vodka,22
22,"얼음,앱솔루트 바니리아,라임 주스,사이다,라임",37,0,vodka,22
23,"얼음,앱솔루트 보드카,토닉 워터,라임",30,0,vodka,14
24,"잘게 부순 얼음,앱솔루트 라즈베리,슈가시럽,라임 주스,라즈베리",35,2,vodka,4
25,"얼음,앱솔루트 보드카,깔루아,크림",18,6,vodka,14
26,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,계란 흰자,비터즈,체리,레몬",35,1,vodka,16
27,"얼음,앱솔루트 보드카,트리플 섹,레몬 주스,라임",28,9,vodka,14
28,"얼음,앱솔루트 보드카,자몽주스,크랜베리 주스,라임",13,8,vodka,14
29,"얼음,앱솔루트 보드카,오렌지 주스,샴페인",1,8,vodka|champagne,14
30,"얼음,앱솔루트 보드카,배 주스,딱총나무 꽃 코디얼,배",23,0,vodka,14
31,"얼음,앱솔루트 보드카,크랜베리 주스,오렌지 주스,복숭아 리큐어,복숭아",14,9,vodka,14
32,"얼음,앱솔루트 보드카,깔루아,에스프레소,커피 콩",36,1,vodka,13
33,"얼음,앱솔루트 라즈베리,라임 주스,진저비어,라즈베리,레몬",36,0,vodka,14
34,"얼음,앱솔루트 보드카,라이치 리큐어,라이치",39,0,vodka,4
35,"얼음,앱솔루트 시트론,레몬 주스,슈가시럽,트리플 섹,레몬 껍질",36,1,vodka,4
36,"얼음,앱솔루트 라즈베리,오렌지 주스,석류즙,오렌지,라즈베리",28,2,vodka,14
37,"얼음,앱솔루트 라즈베리,토닉 워터,라임 주스,라즈베리",28,0,vodka,22
38,"얼음,앱솔루트 시트론,트리플 섹,패션프루트 퓨레,화이트 크랜베리 주스,라임 주스,슈가시럽,블루 큐라소,카람보라",19,13,vodka,14
39,"얼음,앱솔루트 라즈베리,크랜베리 주스,라즈베리",29,3,vodka,4
40,"얼음,앱솔루트 보드카,파인애플 주스,파인애플",30,3,vodka,15
41,"얼음,앱솔루트 그레이프프루트,루비 자몽주스,라임 주스,소다수,그레이프프루트",19,0,vodka,14
42,"앱솔루트 보드카,레몬 주스,슈가시럽,바질",37,1,vodka,1
43,"얼음,앱솔루트 시트론,레몬 주스,레몬첼로,피상 암본,사이다,카람보라",17,1,vodka,14
44,"얼음,앱솔루트 보드카,블루 큐라소,애플 주스,레몬에이드,라임",23,12,vodka,13
45,"앱솔루트 보드카,토마토 주스,레몬 주스,핫 소스,우스터 소스,블랙페퍼 가루,마늘 소금,레몬,셀러리",29,1,vodka,14
46,"얼음,앱솔루트 라임,라임 주스,진저비어,라임",38,0,vodka,22
47,"얼음,앱솔루트 워터멜론,스파클링 와인,슈가시럽,수박,민트",16,13,vodka,21
48,"얼음,앱솔루트 보드카,라임 코디얼,라임",23,26,vodka,14
49,"얼음,앱솔루트 보드카,소다수,레몬 주스,딱총나무 꽃 코디얼,레몬",28,3,vodka,17
50,"얼음,앱솔루트 보드카,라이트 럼,진,데킬라,레몬 주스,트리플 섹,콜라,레몬",8,2,vodka|gin|rum|tequila,14
51,"얼음,앱솔루트 워터멜론,레몬 주스,슈가시럽,수박,라임",18,1,vodka,22
52,"얼음,앱솔루트 보드카,코코넛 워터,크랜베리 주스,블루 큐라소,슈가시럽,블루베리",16,10,vodka,15
