id,ingredient,degree,sugar,base_spirit,저녁 술,오후 술,식전 술,식후 술
1,"얼음,앱솔루트 보드카,깔루아,에스프레소,커피 콩",3,3,vodka,0,1,0,0
2,"얼음,앱솔루트 보드카,라임 주스,진저비어,라임",4,1,vodka,0,1,0,0
3,"얼음,앱솔루트 보드카,드라이 버무스,레몬 껍질,그린 올리브",4,1,vodka,0,0,1,0
4,"얼음,앱솔루트 시트론,레몬 주스,슈가시럽,레몬",2,3,vodka,1,0,0,0
5,"얼음,앱솔루트 시트론,트리플 섹,라임 주스,크랜베리 주스,오렌지 껍질",4,2,vodka,0,0,0,0
6,"얼음,앱솔루트 보드카,크랜베리 주스,라임",3,2,vodka,0,1,0,0
7,"얼음,앱솔루트 보드카,소다수,라임 주스,라임",3,2,vodka,0,1,0,0
8,"앱솔루트 바니리아,패션프루트 퓨레,바닐라 시럽,파인애플,패션 프루트",4,2,vodka,0,0,0,0
9,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,사과즙,애플 주스",4,2,vodka,1,0,0,0
10,"앱솔루트 보드카,슈가시럽,민트잎,라임,소다수",4,2,vodka,0,0,1,0
11,"얼음,앱솔루트 보드카,라이트 오렌지 주스,크랜베리 주스,복숭아 슈납스,라임,체리",1,3,vodka,0,1,0,0
12,"얼음,앱솔루트 망고,크랜베리 주스,오렌지 주스,망고",2,3,vodka,0,1,0,0
13,"얼음,앱솔루트 보드카,레몬 주스,석류즙,슈가시럽,소다수",4,2,vodka,0,1,0,0
14,"얼음,앱솔루트 보드카,패션프루트 퓨레,레몬 주스,슈가시럽,패션 프루트 리큐어,패션 프루트",2,4,vodka,0,0,0,0
15,"얼음,앱솔루트 보드카,블루 큐라소,코코넛 시럽,파인애플 주스,체리",3,4,vodka,0,1,0,0
16,"얼음,앱솔루트 보드카,진저엘,라임",3,1,vodka,0,0,0,0
17,"얼음,앱솔루트 페어,슈가시럽,레몬 주스,배 퓌레,배",4,2,vodka,0,1,0,0
18,"얼음,앱솔루트 시트론,레몬에이드,복숭아,바질",2,3,vodka,0,1,0,0
19,"잘게 부순 얼음,앱솔루트 라임,라임 주스,슈가시럽,소다수,어린 가지 민트,라임",4,2,vodka,0,0,0,0
20,"얼음,앱솔루트 보드카,소다수,라임",3,2,vodka,0,1,0,0
21,"얼음,앱솔루트 맨드린,진저엘,파인애플 주스,레몬,라임",2,3,vodka,0,0,1,0
22,"얼음,앱솔루트 워터멜론,수박 주스,라임 주스,슈가시럽,오렌지 리큐어",1,2,vodka,0,0,0,0
23,"얼음,앱솔루트 바니리아,라임 주스,사이다,라임",4,1,vodka,0,0,0,0
24,"얼음,앱솔루트 보드카,토닉 워터,라임",3,1,vodka,0,1,0,0
25,"잘게 부순 얼음,앱솔루트 라즈베리,슈가시럽,라임 주스,라즈베리",4,2,vodka,0,0,1,0
26,"얼음,앱솔루트 보드카,깔루아,크림",2,3,vodka,0,1,0,0
27,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,계란 흰자,비터즈,체리,레몬",4,2,vodka,0,0,0,0
28,"얼음,앱솔루트 보드카,트리플 섹,레몬 주스,라임",3,4,vodka,0,1,0,0
29,"얼음,앱솔루트 보드카,자몽주스,크랜베리 주스,라임",2,3,vodka,0,1,0,0
30,"얼음,앱솔루트 보드카,오렌지 주스,샴페인",1,3,vodka|champagne,0,1,0,0
31,"얼음,앱솔루트 보드카,배 주스,딱총나무 꽃 코디얼,배",3,1,vodka,0,1,0,0
32,"얼음,앱솔루트 보드카,크랜베리 주스,오렌지 주스,복숭아 리큐어,복숭아",2,4,vodka,0,1,0,0
33,"얼음,앱솔루트 보드카,깔루아,에스프레소,커피 콩",4,2,vodka,0,0,0,1
34,"얼음,앱솔루트 라즈베리,라임 주스,진저비어,라즈베리,레몬",4,1,vodka,0,1,0,0
35,"얼음,앱솔루트 보드카,라이치 리큐어,라이치",4,1,vodka,0,0,1,0
36,"얼음,앱솔루트 시트론,레몬 주스,슈가시럽,트리플 섹,레몬 껍질",4,2,vodka,0,0,1,0
37,"얼음,앱솔루트 라즈베리,오렌지 주스,석류즙,오렌지,라즈베리",3,2,vodka,0,1,0,0
38,"얼음,앱솔루트 라즈베리,토닉 워터,라임 주스,라즈베리",3,1,vodka,0,0,0,0
39,"얼음,앱솔루트 시트론,트리플 섹,패션프루트 퓨레,화이트 크랜베리 주스,라임 주스,슈가시럽,블루 큐라소,카람보라",2,4,vodka,0,1,0,0
40,"얼음,앱솔루트 라즈베리,크랜베리 주스,라즈베리",3,2,vodka,0,0,1,0
41,"얼음,앱솔루트 보드카,파인애플 주스,파인애플",3,2,vodka,1,0,0,0
42,"얼음,앱솔루트 그레이프프루트,루비 자몽주스,라임 주스,소다수,그레이프프루트",2,1,vodka,0,1,0,0
43,"앱솔루트 보드카,레몬 주스,슈가시럽,바질",4,2,vodka,0,0,0,0
44,"얼음,앱솔루트 시트론,레몬 주스,레몬첼로,피상 암본,사이다,카람보라",2,2,vodka,0,1,0,0
45,"얼음,앱솔루트 보드카,블루 큐라소,애플 주스,레몬에이드,라임",3,4,vodka,0,0,0,1
46,"앱솔루트 보드카,토마토 주스,레몬 주스,핫 소스,우스터 소스,블랙페퍼 가루,마늘 소금,레몬,셀러리",3,2,vodka,0,1,0,0
47,"얼음,앱솔루트 라임,라임 주스,진저비어,라임",4,1,vodka,0,0,0,0
48,"얼음,앱솔루트 워터멜론,스파클링 와인,슈가시럽,수박,민트",2,4,vodka,0,0,0,0
49,"얼음,앱솔루트 보드카,라임 코디얼,라임",3,5,vodka,0,1,0,0
50,"얼음,앱솔루트 보드카,소다수,레몬 주스,딱총나무 꽃 코디얼,레몬",3,2,vodka,0,0,0,0
51,"얼음,앱솔루트 보드카,라이트 럼,진,데킬라,레몬 주스,트리플 섹,콜라,레몬",1,2,vodka|gin|rum|tequila,0,1,0,0
52,"얼음,앱솔루트 워터멜론,레몬 주스,슈가시럽,수박,라임",2,2,vodka,0,0,0,0
53,"얼음,앱솔루트 보드카,코코넛 워터,크랜베리 주스,블루 큐라소,슈가시럽,블루베리",2,4,vodka,1,0,0,0
54,"얼음,앱솔루트 보드카,드라이 버무스,스위트 버무스,비터즈",3,3,vodka,0,0,1,0
55,"앱솔루트 라즈베리,슈가시럽,레몬 주스,라즈베리,소다수",4,2,vodka,0,0,1,0
56,"얼음,앱솔루트 보드카,오렌지 주스,오렌지",3,2,vodka,1,0,0,0
57,"얼음,앱솔루트 보드카,블루 큐라소,라임 주스,슈가시럽,레몬,블루베리",4,2,vodka,0,0,1,0
58,"얼음,앱솔루트 보드카,라이트 럼,파인애플 주스,오렌지 주스,아마레또,오렌지",1,4,vodka|rum,0,0,1,0
59,"얼음,앱솔루트 보드카,신선한 애플 주스,사과즙,레몬 주스,슈가시럽,사과",2,3,vodka,0,0,1,0
60,"얼음,앱솔루트 워터멜론,소다수,수박,라임",4,2,vodka,0,0,0,0
61,"얼음,앱솔루트 보드카,멀드 스파이스,진저비어,레드 와인",4,1,vodka,0,0,0,0
62,"얼음,앱솔루트 맨드린,크랜베리 주스,트리플 섹,검붉은 오렌지 주스,라임 주스",2,3,vodka,1,0,0,0
63,"얼음,앱솔루트 페어,애플 주스,크랜베리 주스,라임",2,3,vodka,0,0,0,0
64,"잘게 부순 얼음,앱솔루트 망고,슈가시럽,라임,민트,망고",4,2,vodka,0,1,0,0
65,"얼음,앱솔루트 망고,소다수,라임 주스,망고",3,2,vodka,0,0,0,0
66,"얼음,앱솔루트 워터멜론,슈가시럽,수박",4,2,vodka,0,0,0,0
67,"얼음,앱솔루트 바니리아,콜라,라임",3,2,vodka,1,0,0,0
68,"얼음,앱솔루트 주스 스트로베리,소다수,딸기",2,3,vodka,0,1,0,0
69,"얼음,앱솔루트 보드카,콜라,라임",2,3,vodka,0,0,0,0
70,"얼음,앱솔루트 보드카,드라이 버무스,오렌지 비터즈,석류즙",4,1,vodka,0,0,1,0
71,"얼음,앱솔루트 바니리아,패션 프루트 주스,레몬 주스,패션 프루트 리큐어,슈가시럽,딸기,파인애플,바닐라",2,4,vodka,0,1,0,0
72,"얼음,앱솔루트 페어,레몬 주스,사이다,레몬,빨대",4,1,vodka,0,1,0,0
73,"얼음,앱솔루트 그레이프프루트,소다수,크랜베리 주스,레몬",2,3,vodka,0,0,1,0
74,"얼음,앱솔루트 시트론,코코넛 워터,라임 주스,비터즈,파인애플",4,1,vodka,0,0,0,0
75,"얼음,앱솔루트 바니리아,말리부 럼,패션 프루트 주스,파인애플",1,4,vodka,0,0,0,0
76,"얼음,앱솔루트 망고,라임 주스,진저비어,망고",4,1,vodka,0,1,0,0
77,"앱솔루트 보드카,토마토 주스,서양고추냉이,핫 소스,우스터 소스,레몬 주스,레몬,셀러리",3,2,vodka,0,1,0,0
78,"얼음,앱솔루트 보드카,라이치 리큐어,블루 큐라소,바이올렛 리큐어,식용 꽃,민트",3,4,vodka,0,0,1,0
79,"얼음,앱솔루트 보드카,블루베리 리큐어,슈가시럽,블루베리",4,1,vodka,0,1,0,0
80,"얼음,앱솔루트 보드카,블루베리 리큐어,라임 주스,슈가시럽,블루베리",3,2,vodka,0,1,0,0
81,"얼음,앱솔루트 보드카,레몬에이드,아이스 티,라임",4,2,vodka,0,1,0,0
82,"얼음,앱솔루트 보드카,깔루아,체리",3,4,vodka,0,1,0,0
83,"얼음,앱솔루트 보드카,클라마토,핫 소스,우스터 소스,셀러리,레몬",3,1,vodka,0,0,0,0
84,"얼음,앱솔루트 패션프루트,패션프루트 퓨레,바닐라 시럽,딸기",4,2,vodka,0,0,0,0
85,"얼음,앱솔루트 워터멜론,소다수,수박,라임",2,3,vodka,0,0,0,0
86,"얼음,앱솔루트 보드카,오렌지 주스,석류즙,오렌지",3,2,vodka,0,1,0,0
87,"얼음,앱솔루트 보드카,복숭아 퓌레,샴페인",2,3,vodka|champagne,0,1,0,0
