id,ingredient,degree,sugar,base_spirit,glass_id,color_id,occasion_id
1,"얼음|60 ml,앱솔루트 보드카|30 ml,깔루아|30 ml,에스프레소|3 개,커피 콩",24,5,vodka,7,2,14
2,"얼음|480 ml,앱솔루트 보드카|15 ml,라임 주스|진저비어|1 웨지,라임",38,0,vodka,5,3,14
3,"얼음|480 ml,앱솔루트 보드카|7.5 ml,드라이 버무스|1 개,레몬 껍질|1 개,그린 올리브",39,0,vodka,7,5,4
4,"얼음|20 ml,앱솔루트 시트론|15 ml,레몬 주스|7.5 ml,슈가시럽|1 웨지,레몬",18,8,vodka,8,3,15
5,"얼음|330 ml,앱솔루트 시트론|20 ml,트리플 섹|20 ml,라임 주스|20 ml,크랜베리 주스|1 개,오렌지 껍질",35,2,vodka,7,7,6
6,"얼음|480 ml,앱솔루트 보드카|150 ml,크랜베리 주스|1 웨지,라임",30,3,vodka,4,1,14
7,"얼음|330 ml,앱솔루트 보드카|150 ml,소다수|15 ml,라임 주스|1 웨지,라임",26,3,vodka,4,5,14
8,"480 ml,앱솔루트 바니리아|22.5 ml,패션프루트 퓨레|15 ml,바닐라 시럽|1 슬라이스,파인애플|1 개,패션 프루트",35,1,vodka,7,3,17
9,"얼음|480 ml,앱솔루트 보드카|22.5 ml,레몬 주스|22.5 ml,슈가시럽|20 ml,사과즙|20 ml,애플 주스",34,2,vodka,7,3,15
10,"480 ml,앱솔루트 보드카|20 ml,슈가시럽|6 개,민트잎|4 그램,라임|소다수",38,2,vodka,4,5,4
11,"얼음|22.5 ml,앱솔루트 보드카|390 ml,라이트 오렌지 주스|390 ml,크랜베리 주스|22.5 ml,복숭아 슈납스|1 슬라이스,라임|1 개,체리",1,5,vodka,4,9,14
12,"얼음|480 ml,앱솔루트 망고|510 ml,크랜베리 주스|510 ml,오렌지 주스|1 웨지,망고",12,7,vodka,4,1,14
